start_index,mae,rmse
0,3123.4500000000007,3705.3556450989518
12,2047.5166666666664,2446.159654778621
24,1562.1166666666675,1835.9241696395493
36,3399.6333333333337,4063.526017307301
48,2493.8666666666672,2845.5605563754925
60,541.4833333333336,622.5113359074945
72,939.1166666666674,1067.3383421702167
84,954.8333333333334,1246.7727673210277
96,691.1666666666666,825.2225154465914
108,748.9166666666679,1334.844631408465
120,3795.9333333333343,4446.666625687157
132,923.6833333333343,1115.5516408187186
144,814.75,880.2522006031379
156,1213.25,1672.546442803109
168,1931.6999999999996,2249.6481176693683
180,2830.783333333333,3209.372456311877
192,1486.0333333333328,1941.3071953368603
204,2045.8500000000004,2424.878792847181
